,source_dtype,missing_raw,blank_strings,unparseable_or_nonfinite_numeric,missing_after_cleaning
customerID,object,0,0,0,
gender,object,0,0,0,0.0
SeniorCitizen,int64,0,0,0,0.0
Partner,object,0,0,0,0.0
Dependents,object,0,0,0,0.0
tenure,int64,0,0,0,0.0
PhoneService,object,0,0,0,0.0
MultipleLines,object,0,0,0,0.0
InternetService,object,0,0,0,0.0
OnlineSecurity,object,0,0,0,0.0
OnlineBackup,object,0,0,0,0.0
DeviceProtection,object,0,0,0,0.0
TechSupport,object,0,0,0,0.0
StreamingTV,object,0,0,0,0.0
StreamingMovies,object,0,0,0,0.0
Contract,object,0,0,0,0.0
PaperlessBilling,object,0,0,0,0.0
PaymentMethod,object,0,0,0,0.0
MonthlyCharges,float64,0,0,0,0.0
TotalCharges,object,0,11,0,11.0
Churn,object,0,0,0,
