customerID,split
6918-UMQCG,train
4140-MUHUG,train
5570-PTWEH,train
2054-PJOCK,train
4315-MURBD,train
8747-UDCOI,train
2023-VQFDL,train
3629-WEAAM,train
5124-EOGYE,train
7996-MHXLW,train
5996-DAOQL,train
8022-BECSI,train
7695-PKLCZ,train
4456-RHSNB,train
1465-WCZVT,train
9225-BZLNZ,train
0674-EYYZV,train
8562-GHPPI,train
3786-WOVKF,train
8663-UPDGF,train
8364-TRMMK,train
5117-ZSMHQ,train
2027-OAQQC,train
3721-CNZHX,train
6510-UPNKS,train
2947-DOMLJ,train
9912-OMZDS,train
3407-JMJQQ,train
1996-DBMUS,train
9601-BRXPO,train
0795-XCCTE,train
1555-DJEQW,train
6870-ECSHE,train
6762-NSODU,train
6620-HVDUJ,train
6583-QGCSI,train
8327-LZKAS,train
2091-GPPIQ,train
1262-OPMFY,train
3969-JQABI,train
6614-VBEGU,train
7432-FFVAR,train
4075-WKNIU,train
7074-IEVOJ,train
8573-CGOCC,train
8008-ESFLK,train
9058-HRZSV,train
5970-GHJAW,train
2474-LCNUE,train
1230-QAJDW,train
2676-OXPPQ,train
7672-VFMXZ,train
6233-HXJMX,train
2996-XAUVF,train
0746-JTRFU,train
4803-AXVYP,train
3453-RTHJQ,train
9553-DLCLU,train
7228-OMTPN,train
5327-CNLUQ,train
5651-CRHKQ,train
7940-UQQUG,train
3486-HOOGQ,train
1866-OBPNR,train
9948-YPTDG,train
7548-SEPYI,train
3428-MMGUB,train
0869-PAPRP,train
0897-FEGMU,train
2324-EFHVG,train
8029-XYPWT,train
5996-EBTKM,train
1907-UBQFC,train
3001-UNBTL,train
3745-HRPHI,train
1810-MVMAI,train
3688-FTHLT,train
2453-SAFNS,train
2277-BKJKN,train
0133-BMFZO,train
7442-YGZFK,train
8982-NHAVY,train
3799-ISUZQ,train
9617-UDPEU,train
1821-BUCWY,train
4795-UXVCJ,train
1750-CSKKM,train
7293-LSCDV,train
1790-NESIO,train
4836-WNFNO,train
2357-COQEK,train
7452-FOLON,train
0953-LGOVU,train
1760-CAZHT,train
2430-USGXP,train
0420-BWTPW,train
5998-DZLYR,train
9350-ZXYJC,train
4094-NSEDU,train
1393-IMKZG,train
7993-NQLJE,train
3082-WQRVY,train
8540-ZQGEA,train
0375-HVGXO,train
3585-YNADK,train
7234-FECYN,train
4186-ZBUEW,train
1336-EZFZY,train
0780-XNZFN,train
2458-EOMRE,train
1723-HKXJQ,train
9530-EHPOH,train
3549-ZTMNH,train
2495-KZNFB,train
0621-TWIEM,train
5947-SGKCL,train
2845-AFFTX,train
7758-UJWYS,train
6725-TPKJO,train
9881-VCZEP,train
9889-TMAHG,train
1640-PLFMP,train
6161-ERDGD,train
8799-OXZMD,train
4415-WNGVR,train
9362-MWODR,train
7964-YESJC,train
5133-VRSAB,train
7860-UXCRM,train
9499-XPZXM,train
5093-FEGLU,train
4546-FOKWR,train
4933-BSAIP,train
2680-XKKNJ,train
8922-LIEGH,train
7682-AZNDK,train
7470-DYNOE,train
0699-NDKJM,train
3374-PZLXD,train
1599-MMYRQ,train
1552-TKMXS,train
3904-UKFRE,train
5089-IFSDP,train
9067-YGSCA,train
2858-MOFSQ,train
0214-JHPFW,train
8710-YGLWG,train
6686-YPGHK,train
7722-VJRQD,train
6114-TCFID,train
9129-UXERG,train
2712-SYWAY,train
4083-BFNYK,train
5035-PGZXH,train
1213-NGCUN,train
3566-HJGPK,train
4548-SDBKE,train
1623-NLDOT,train
7472-EQOAV,train
3657-COGMW,train
3174-RKMOW,train
5908-QMGOE,train
0980-PVMRC,train
1775-KWJKQ,train
8182-BJDSI,train
6476-EPYZR,train
2585-KTFRE,train
3370-GQEAL,train
2300-RQGOI,train
5429-LWCMV,train
4250-WAROZ,train
7718-RXDGG,train
0412-UCCNP,train
0266-CLZKZ,train
9677-AVKED,train
0623-IIHUG,train
0221-NAUXK,train
1941-HOSAM,train
7182-OVLBJ,train
6140-QNRQQ,train
8398-TBIYD,train
3703-KBKZP,train
0168-XZKBB,train
8564-LDKFL,train
8387-UGUSU,train
6595-YGXIT,train
2507-QZPQS,train
0374-FIUCA,train
5590-ZSKRV,train
6689-TCZHQ,train
0277-ORXQS,train
7449-HVPIV,train
0442-ZXKVS,train
0016-QLJIS,train
6366-ZGQGL,train
6345-HOVES,train
6502-MJQAE,train
3855-ONCAR,train
5995-LFTLE,train
3683-QKIUE,train
5419-JPRRN,train
6980-CDGFC,train
1689-YQBYY,train
5555-RNPGT,train
0089-IIQKO,train
1852-QSWCD,train
2916-BQZLN,train
8259-NFJTV,train
4443-EMBNA,train
6959-UWKHF,train
2080-SRCDE,train
7752-XUSCI,train
7521-AFHAB,train
2580-ASVVY,train
2111-DWYHN,train
9633-XQABV,train
5216-WASFJ,train
9714-EDSUC,train
7175-NTIXE,train
3703-TTEPD,train
8952-WCVCD,train
5924-IFQTT,train
5993-JSUWV,train
9282-IZGQK,train
3671-SHRSP,train
4423-YLHDV,train
1177-XZBJL,train
4537-DKTAL,train
2724-FJDYW,train
7853-OETYL,train
7852-LECYP,train
5916-QEWPT,train
7196-LIWRH,train
2320-SLKMB,train
5811-IWXYM,train
9891-NQDBD,train
1027-LKKQQ,train
3898-GUYTS,train
4487-ZYJZK,train
9470-RTWDV,train
0956-ACVZC,train
6048-UWKAL,train
1877-HKBQX,train
0219-QAERP,train
9318-NKNFC,train
9249-FXSCK,train
1918-ZBFQJ,train
5321-NTRKC,train
2265-CYWIV,train
6668-CNMFP,train
3352-RICWQ,train
6648-INWPS,train
5057-LCOUI,train
5519-NPHVG,train
1302-TPUBN,train
0201-OAMXR,train
5060-TQUQN,train
8203-XJZRC,train
8152-VETUR,train
3746-EUBYR,train
0696-UKTOX,train
6661-EIPZC,train
9738-QLWTP,train
3976-HXHCE,train
6897-UUBNU,train
6131-IUNXN,train
8706-HRADD,train
5439-WIKXB,train
2455-USLMV,train
3669-OYSJI,train
8980-WQFWL,train
7564-GHCVB,train
9702-AIUJO,train
9076-AXYIK,train
1090-PYKCI,train
0550-DCXLH,train
3911-RSNHI,train
5148-HKFIR,train
9498-FIMXL,train
1488-PBLJN,train
8990-YOZLV,train
5797-APWZC,train
1730-ZMAME,train
3295-YVUSR,train
1396-QWFBJ,train
9821-POOTN,train
4355-HBJHH,train
5998-VVEJY,train
2037-XJFUP,train
5686-CMAWK,train
2817-LVCPP,train
3144-KMTWZ,train
9921-QFQUL,train
8232-UTFOZ,train
4092-OFQZS,train
3160-TYXLT,train
5985-BEHZK,train
9769-TSBZE,train
1159-WFSGR,train
5144-PQCDZ,train
7587-AOVVU,train
7856-GANIL,train
1057-FOGLZ,train
9766-HGEDE,train
3470-BTGQO,train
6982-SSHFK,train
0786-IVLAW,train
2097-YVPKN,train
2640-PMGFL,train
7610-TVOPG,train
0114-RSRRW,train
3387-PLKUI,train
7109-CQYUZ,train
3737-GCSPV,train
9500-IWPXQ,train
3643-AHCFP,train
8270-RKSAP,train
5639-NTUPK,train
5293-WXJAK,train
4289-DTDKW,train
6457-USBER,train
7153-OANIO,train
3842-IYKUE,train
9356-AXGMP,train
1663-MHLHE,train
0556-FJEGU,train
5701-YVSVF,train
7524-VRLPL,train
6500-JVEGC,train
4176-FXYBO,train
5795-BKOYE,train
0975-UYDTX,train
0626-QXNGV,train
7668-XCFYV,train
2761-XECQW,train
6551-GNYDG,train
2801-NISEI,train
8773-HHUOZ,train
3439-GVUSX,train
9239-GZHZE,train
6617-WLBQC,train
4565-NLZBV,train
6563-VNPMN,train
1841-YSJGV,train
8627-ZYGSZ,train
8802-UNOJF,train
9600-UDOPK,train
1060-ENTOF,train
9667-TKTVZ,train
8869-LIHMK,train
7998-ZLXWN,train
9053-EJUNL,train
5815-HGGHV,train
4826-XTSOH,train
6108-OQZDQ,train
5906-BFOZT,train
7921-BEPCI,train
5599-HVLTW,train
3266-FTKHB,train
5222-IMUKT,train
8331-ZXFOE,train
5668-MEISB,train
1114-CENIM,train
1834-ABKHQ,train
6344-SFJVH,train
8017-UVSZU,train
6133-OZILE,train
2829-HYVZP,train
0369-ZGOVK,train
1965-AKTSX,train
4081-DYXAV,train
0107-YHINA,train
0215-BQKGS,train
7831-QGOXH,train
2045-BMBTJ,train
4597-ELFTS,train
1403-LKLIK,train
6726-WEXXK,train
4827-USJHP,train
7802-EFKNY,train
1430-SFQSA,train
4001-TSBTV,train
0708-SJDIS,train
4505-EXZHB,train
9386-LDCZR,train
3352-ALMCK,train
8261-GWDBQ,train
5276-KQWHG,train
6749-UTDVX,train
5445-GLVOT,train
3061-BCKYI,train
4855-SNKMY,train
7625-XCQRH,train
6806-YDEUL,train
2640-LYMOV,train
5928-QLDHB,train
3196-NVXLZ,train
9938-PRCVK,train
4815-TUMEQ,train
9746-MDMBK,train
9391-YZEJW,train
3070-DVEYC,train
0083-PIVIK,train
4307-KTUMW,train
1215-EXRMO,train
6745-JEFZB,train
6586-MYGKD,train
1746-TGTWV,train
8286-AFUYI,train
1328-EUZHC,train
4853-RULSV,train
1897-RCFUM,train
3086-RUCRN,train
0415-MOSGF,train
1231-YNDEK,train
1763-KUAAW,train
9873-MNDKV,train
8835-VSDSE,train
6275-YDUVO,train
3038-PQIUY,train
9861-PDSZP,train
7688-AWMDX,train
8999-XXGNS,train
0618-XWMSS,train
2452-SNHFZ,train
4897-QSUYC,train
3174-AKMAS,train
4992-LTJNE,train
6894-LFHLY,train
7075-BNDVQ,train
4801-KFYKL,train
2256-YLYLP,train
7594-RQHXR,train
8679-LZBMD,train
0244-LGNFY,train
5680-LQOGP,train
4825-XJGDM,train
1635-NZATJ,train
3934-HXCFZ,train
4959-JOSRX,train
3635-QQRQD,train
3620-MWJNE,train
7317-GGVPB,train
0743-HNPFG,train
3503-TYDAY,train
7446-SFAOA,train
8847-GEOOQ,train
3753-TSEMP,train
9351-LZYGF,train
3520-FJGCV,train
2959-EEXWB,train
6128-CZOMY,train
7927-AUXBZ,train
0931-MHTEM,train
1591-MQJTP,train
6956-SMUCM,train
9691-HKOVS,train
9885-CSMWE,train
1208-NBVFH,train
0835-DUUIQ,train
9391-EOYLI,train
7718-UPSKJ,train
1935-IMVBB,train
6770-UAYGJ,train
8316-BBQAY,train
0458-HEUZG,train
0519-XUZJU,train
4132-POCZS,train
6356-ELRKD,train
8849-PRIQJ,train
7601-DHFWZ,train
5012-YSPJJ,train
2978-XXSOG,train
4588-YBNIB,train
9095-HFAFX,train
4929-XIHVW,train
1101-SSWAG,train
8999-YPYBV,train
1832-PEUTS,train
6537-QLGEX,train
4710-NKCAW,train
7746-QYVCO,train
6484-LATFU,train
5546-QUERU,train
3261-CQXOL,train
3351-NQLDI,train
5533-NHFRF,train
0212-ISBBF,train
5447-WZAFP,train
6908-VVYHM,train
9099-FTUHS,train
2172-EJXVF,train
6652-YFFJO,train
8917-SZTTJ,train
6339-RZCBJ,train
0899-WZRSD,train
8837-VVWLQ,train
4716-HHKQH,train
1488-SYSFC,train
7096-ZNBZI,train
1596-BBVTG,train
1228-ZLNBX,train
2346-CZYIL,train
7605-BDWDC,train
7579-KKLOE,train
8963-JLGJT,train
6641-XRPSU,train
3841-NFECX,train
6532-YLWSI,train
5047-LHVLY,train
2777-PHDEI,train
7872-BAAZR,train
8466-PZBLH,train
4950-BDEUX,train
4077-CROMM,train
1569-TTNYJ,train
3230-WYKIR,train
5884-GCYMI,train
8051-HJRLT,train
3280-MRDOF,train
0363-SVHYR,train
5598-IKHQQ,train
9661-ACXBS,train
4393-RYCRE,train
0318-ZOPWS,train
1134-YWTYF,train
0264-CNITK,train
6323-AYBRX,train
3859-CVCET,train
7207-RMRDB,train
7162-WPHPM,train
8402-EIVQS,train
3537-HPKQT,train
5002-GCQFH,train
5982-FPVQN,train
1091-SOZGA,train
3050-RLLXC,train
8903-WMRNW,train
7153-CHRBV,train
